"stressor_RR","es","power","effect","es_cat","number"
"BD loss 1",0.302748888777064,1.431,"cMAOM","a.Intercept_es",1
"BD loss 2",0.11410505218043,6.823,"cMAOM","a.Intercept_es",2
"Fert 1",0.540111986275829,1.082,"cMAOM","a.Intercept_es",3
"Fert 2",0.287297012331121,1.5445,"cMAOM","a.Intercept_es",4
"Warm 1",0.071449836770106,7.833,"cMAOM","a.Intercept_es",5
"Fert 3",0.17475736771057,2.459,"cMAOM","a.Intercept_es",6
"Fert 4",0.635100665062346,1.004,"cMAOM","a.Intercept_es",7
"LUC 1",0.315150694852809,1.6915,"cMAOM","a.Intercept_es",8
"LUC 2",0.489331660003547,1.8295,"cMAOM","a.Intercept_es",9
"LUC 3",0.460321060631471,1.7895,"cMAOM","a.Intercept_es",10
"LUC 4",0.0311665803510137,21.5405,"cMAOM","a.Intercept_es",11
"LUC 5",0.0536621023667231,18.536,"cMAOM","a.Intercept_es",12
"Fert 5",0.0888157499063749,2.4945,"cMAOM","a.Intercept_es",13
"Fert 6",0.108801240847821,8.148,"cMAOM","a.Intercept_es",14
"Precip ",0.0120178709391637,12.5375,"cMAOM","a.Intercept_es",15
"LUC 6",0.0436883719343155,14.19,"cMAOM","a.Intercept_es",16
"Warm 2",0.797139908249877,2.175,"cMAOM","a.Intercept_es",17
"Inv 1",1.33585960425313,1,"cMAOM","a.Intercept_es",18
"Fire 1",3.72716432189855,1.156,"cMAOM","a.Intercept_es",19
"Fire 2",0.00294333021406599,647.205,"cMAOM","a.Intercept_es",20
"Fire 3",0.0754773587952458,25.1615,"cMAOM","a.Intercept_es",21
"Warm 3",0.0799947431073161,3.01,"cMAOM","a.Intercept_es",22
"Warm 4",0.0390968339616512,6.287,"cMAOM","a.Intercept_es",23
"Warm 5",0.0462511049617312,8.65,"cMAOM","a.Intercept_es",24
"BD loss 3",0.387441363103359,2.181,"cMAOM","a.Intercept_es",25
"BD loss 4",0.22545438811447,2.9285,"cMAOM","a.Intercept_es",26
"BD loss 5",0.385937174610948,2.8205,"cMAOM","a.Intercept_es",27
"Acid",0.109396336507312,2.951,"cMAOM","a.Intercept_es",28
"Inv 2",0.795174063113597,1.272,"cMAOM","a.Intercept_es",29
"Inv 3",0.318911998191515,1.5215,"cMAOM","a.Intercept_es",30
"BD loss 1",0.303339522756604,1.4295,"MAOM","a.Intercept_es",31
"BD loss 2",0.280758088674229,2.8325,"MAOM","a.Intercept_es",32
"Fert 1",0.624493879205995,1.033,"MAOM","a.Intercept_es",33
"Fert 2",0.563202040845238,1.0455,"MAOM","a.Intercept_es",34
"Warm 1",0.071449836770106,7.8475,"MAOM","a.Intercept_es",35
"Fert 3",0.17475736771057,2.464,"MAOM","a.Intercept_es",36
"Fert 4",0.614235134422731,1.003,"MAOM","a.Intercept_es",37
"LUC 1",0.31515069467717,1.682,"MAOM","a.Intercept_es",38
"LUC 2",0.489331659916264,1.8355,"MAOM","a.Intercept_es",39
"LUC 3",0.485811278606089,1.718,"MAOM","a.Intercept_es",40
"LUC 4",0.212459319874228,3.297,"MAOM","a.Intercept_es",41
"LUC 5",0.053662102402195,18.517,"MAOM","a.Intercept_es",42
"Fert 5",0.088828361886831,2.493,"MAOM","a.Intercept_es",43
"Fert 6",0.1503532506576,5.96,"MAOM","a.Intercept_es",44
"Precip ",0.0206043273809476,7.394,"MAOM","a.Intercept_es",45
"LUC 6",0.287216649680991,2.313,"MAOM","a.Intercept_es",46
"Warm 2",0.797139908249877,2.178,"MAOM","a.Intercept_es",47
"Inv 1",0.205148067493953,1.2415,"MAOM","a.Intercept_es",48
"Fire 1",0.185795072294041,17.689,"MAOM","a.Intercept_es",49
"Fire 2",0.0916286821796462,20.748,"MAOM","a.Intercept_es",50
"Fire 3",0.0945372096177121,20.139,"MAOM","a.Intercept_es",51
"Warm 3",0.111125168174041,2.216,"MAOM","a.Intercept_es",52
"Warm 4",0.0845578388473058,2.984,"MAOM","a.Intercept_es",53
"Warm 5",0.0462511049617312,8.617,"MAOM","a.Intercept_es",54
"BD loss 3",0.500550348531446,1.751,"MAOM","a.Intercept_es",55
"BD loss 4",0.496212049525797,1.467,"MAOM","a.Intercept_es",56
"BD loss 5",0.419148216029129,2.612,"MAOM","a.Intercept_es",57
"Acid",0.213573620444919,1.6285,"MAOM","a.Intercept_es",58
"Inv 2",0.90427395944192,1.1735,"MAOM","a.Intercept_es",59
"Inv 3",0.318911998191515,1.518,"MAOM","a.Intercept_es",60
"BD loss 1",0.302748888777064,1.577,"cESSP","b.BLUP_es",61
"BD loss 2",0.11410505218043,11.005,"cESSP","b.BLUP_es",62
"Fert 1",0.540111986275829,1.191,"cESSP","b.BLUP_es",63
"Fert 2",0.287297012331121,1.432,"cESSP","b.BLUP_es",64
"Warm 1",0.071449836770106,3.872,"cESSP","b.BLUP_es",65
"Fert 3",0.17475736771057,2.444,"cESSP","b.BLUP_es",66
"Fert 4",0.635100665062346,1.032,"cESSP","b.BLUP_es",67
"LUC 1",0.315150694852809,1.8135,"cESSP","b.BLUP_es",68
"LUC 2",0.489331660003547,1.412,"cESSP","b.BLUP_es",69
"LUC 3",0.460321060631471,1.636,"cESSP","b.BLUP_es",70
"LUC 4",0.0311665803510137,1.714,"cESSP","b.BLUP_es",71
"LUC 5",0.0536621023667231,2.683,"cESSP","b.BLUP_es",72
"Fert 5",0.0888157499063749,3.038,"cESSP","b.BLUP_es",73
"Fert 6",0.108801240847821,9.1545,"cESSP","b.BLUP_es",74
"Precip ",0.0120178709391637,1.3475,"cESSP","b.BLUP_es",75
"LUC 6",0.0436883719343155,1.131,"cESSP","b.BLUP_es",76
"Warm 2",0.797139908249877,2.689,"cESSP","b.BLUP_es",77
"Inv 1",1.33585960425313,1,"cESSP","b.BLUP_es",78
"Fire 1",3.72716432189855,1.155,"cESSP","b.BLUP_es",79
"Fire 2",0.00294333021406599,643.7575,"cESSP","b.BLUP_es",80
"Fire 3",0.0754773587952458,25.145,"cESSP","b.BLUP_es",81
"Warm 3",0.0799947431073161,2.759,"cESSP","b.BLUP_es",82
"Warm 4",0.0390968339616512,2.619,"cESSP","b.BLUP_es",83
"Warm 5",0.0462511049617312,2.345,"cESSP","b.BLUP_es",84
"BD loss 3",0.387441363103359,2.961,"cESSP","b.BLUP_es",85
"BD loss 4",0.22545438811447,1.9545,"cESSP","b.BLUP_es",86
"BD loss 5",0.385937174610948,1.973,"cESSP","b.BLUP_es",87
"Acid",0.109396336507312,1.608,"cESSP","b.BLUP_es",88
"Inv 2",0.795174063113597,1.2575,"cESSP","b.BLUP_es",89
"Inv 3",0.318911998191515,1.666,"cESSP","b.BLUP_es",90
"BD loss 1",0.303339522756604,1.628,"ESSP","b.BLUP_es",91
"BD loss 2",0.280758088674229,7.1675,"ESSP","b.BLUP_es",92
"Fert 1",0.624493879205995,1.095,"ESSP","b.BLUP_es",93
"Fert 2",0.563202040845238,1.126,"ESSP","b.BLUP_es",94
"Warm 1",0.071449836770106,3.884,"ESSP","b.BLUP_es",95
"Fert 3",0.17475736771057,2.449,"ESSP","b.BLUP_es",96
"Fert 4",0.614235134422731,1.013,"ESSP","b.BLUP_es",97
"LUC 1",0.31515069467717,2.143,"ESSP","b.BLUP_es",98
"LUC 2",0.489331659916264,1.406,"ESSP","b.BLUP_es",99
"LUC 3",0.485811278606089,1.5735,"ESSP","b.BLUP_es",100
"LUC 4",0.212459319874228,1.515,"ESSP","b.BLUP_es",101
"LUC 5",0.053662102402195,2.205,"ESSP","b.BLUP_es",102
"Fert 5",0.088828361886831,3.0225,"ESSP","b.BLUP_es",103
"Fert 6",0.1503532506576,7.0365,"ESSP","b.BLUP_es",104
"Precip ",0.0206043273809476,1.4115,"ESSP","b.BLUP_es",105
"LUC 6",0.287216649680991,1.349,"ESSP","b.BLUP_es",106
"Warm 2",0.797139908249877,2.675,"ESSP","b.BLUP_es",107
"Inv 1",0.205148067493953,1.276,"ESSP","b.BLUP_es",108
"Fire 1",0.185795072294041,17.694,"ESSP","b.BLUP_es",109
"Fire 2",0.0916286821796462,20.7175,"ESSP","b.BLUP_es",110
"Fire 3",0.0945372096177121,20.208,"ESSP","b.BLUP_es",111
"Warm 3",0.111125168174041,2.337,"ESSP","b.BLUP_es",112
"Warm 4",0.0845578388473058,2.244,"ESSP","b.BLUP_es",113
"Warm 5",0.0462511049617312,2.326,"ESSP","b.BLUP_es",114
"BD loss 3",0.500550348531446,2.142,"ESSP","b.BLUP_es",115
"BD loss 4",0.496212049525797,1.437,"ESSP","b.BLUP_es",116
"BD loss 5",0.419148216029129,1.881,"ESSP","b.BLUP_es",117
"Acid",0.213573620444919,1.635,"ESSP","b.BLUP_es",118
"Inv 2",0.90427395944192,1.1575,"ESSP","b.BLUP_es",119
"Inv 3",0.318911998191515,1.6695,"ESSP","b.BLUP_es",120
"BD loss 1",0.302748888777064,1,"cMAOM.MA","c.MA.power",121
"BD loss 2",0.11410505218043,1.601,"cMAOM.MA","c.MA.power",122
"Fert 1",0.540111986275829,1.001,"cMAOM.MA","c.MA.power",123
"Fert 2",0.287297012331121,0.999,"cMAOM.MA","c.MA.power",124
"Warm 1",0.071449836770106,1.314,"cMAOM.MA","c.MA.power",125
"Fert 3",0.17475736771057,1.269,"cMAOM.MA","c.MA.power",126
"Fert 4",0.635100665062346,0.999,"cMAOM.MA","c.MA.power",127
"LUC 1",0.315150694852809,1.214,"cMAOM.MA","c.MA.power",128
"LUC 2",0.489331660003547,1.521,"cMAOM.MA","c.MA.power",129
"LUC 3",0.460321060631471,1.091,"cMAOM.MA","c.MA.power",130
"LUC 4",0.0311665803510137,11.523,"cMAOM.MA","c.MA.power",131
"LUC 5",0.0536621023667231,6.756,"cMAOM.MA","c.MA.power",132
"Fert 5",0.0888157499063749,1.599,"cMAOM.MA","c.MA.power",133
"Fert 6",0.108801240847821,2.285,"cMAOM.MA","c.MA.power",134
"Precip ",0.0120178709391637,8.693,"cMAOM.MA","c.MA.power",135
"LUC 6",0.0436883719343155,10.997,"cMAOM.MA","c.MA.power",136
"Warm 2",0.797139908249877,1.001,"cMAOM.MA","c.MA.power",137
"Inv 1",1.33585960425313,1.09,"cMAOM.MA","c.MA.power",138
"Fire 1",3.72716432189855,1.185,"cMAOM.MA","c.MA.power",139
"Fire 2",0.00294333021406599,198.173,"cMAOM.MA","c.MA.power",140
"Fire 3",0.0754773587952458,7.777,"cMAOM.MA","c.MA.power",141
"Warm 3",0.0799947431073161,1.778,"cMAOM.MA","c.MA.power",142
"Warm 4",0.0390968339616512,3.724,"cMAOM.MA","c.MA.power",143
"Warm 5",0.0462511049617312,3.099,"cMAOM.MA","c.MA.power",144
"BD loss 3",0.387441363103359,1.061,"cMAOM.MA","c.MA.power",145
"BD loss 4",0.22545438811447,1.281,"cMAOM.MA","c.MA.power",146
"BD loss 5",0.385937174610948,1.922,"cMAOM.MA","c.MA.power",147
"Acid",0.109396336507312,2.995,"cMAOM.MA","c.MA.power",148
"Inv 2",0.795174063113597,1.001,"cMAOM.MA","c.MA.power",149
"Inv 3",0.318911998191515,1.322,"cMAOM.MA","c.MA.power",150
"BD loss 1",0.303339522756604,1.001,"MAOM.MA","c.MA.power",151
"BD loss 2",0.280758088674229,1.011,"MAOM.MA","c.MA.power",152
"Fert 1",0.624493879205995,1.002,"MAOM.MA","c.MA.power",153
"Fert 2",0.563202040845238,1,"MAOM.MA","c.MA.power",154
"Warm 1",0.071449836770106,1.316,"MAOM.MA","c.MA.power",155
"Fert 3",0.17475736771057,1.266,"MAOM.MA","c.MA.power",156
"Fert 4",0.614235134422731,0.999,"MAOM.MA","c.MA.power",157
"LUC 1",0.31515069467717,1.218,"MAOM.MA","c.MA.power",158
"LUC 2",0.489331659916264,1.523,"MAOM.MA","c.MA.power",159
"LUC 3",0.485811278606089,1.074,"MAOM.MA","c.MA.power",160
"LUC 4",0.212459319874228,1.863,"MAOM.MA","c.MA.power",161
"LUC 5",0.053662102402195,6.801,"MAOM.MA","c.MA.power",162
"Fert 5",0.088828361886831,1.167,"MAOM.MA","c.MA.power",163
"Fert 6",0.1503532506576,1.253,"MAOM.MA","c.MA.power",164
"Precip ",0.0206043273809476,3.971,"MAOM.MA","c.MA.power",165
"LUC 6",0.287216649680991,1.822,"MAOM.MA","c.MA.power",166
"Warm 2",0.797139908249877,0.998,"MAOM.MA","c.MA.power",167
"Inv 1",0.205148067493953,1.357,"MAOM.MA","c.MA.power",168
"Fire 1",0.185795072294041,2.638,"MAOM.MA","c.MA.power",169
"Fire 2",0.0916286821796462,2.401,"MAOM.MA","c.MA.power",170
"Fire 3",0.0945372096177121,2.326,"MAOM.MA","c.MA.power",171
"Warm 3",0.111125168174041,1.038,"MAOM.MA","c.MA.power",172
"Warm 4",0.0845578388473058,1.262,"MAOM.MA","c.MA.power",173
"Warm 5",0.0462511049617312,3.102,"MAOM.MA","c.MA.power",174
"BD loss 3",0.500550348531446,0.998,"MAOM.MA","c.MA.power",175
"BD loss 4",0.496212049525797,1.002,"MAOM.MA","c.MA.power",176
"BD loss 5",0.419148216029129,1.508,"MAOM.MA","c.MA.power",177
"Acid",0.213573620444919,1.302,"MAOM.MA","c.MA.power",178
"Inv 2",0.90427395944192,1.002,"MAOM.MA","c.MA.power",179
"Inv 3",0.318911998191515,1.321,"MAOM.MA","c.MA.power",180
